9.067799568176269087e-01,9.067199587821960227e-01,9.053799629211425337e-01,9.040000081062317117e-01,9.041999578475952148e-01,9.029799580574036089e-01
9.043599486351012740e-01,9.069599747657776101e-01,9.065399646759033647e-01,9.081599593162537065e-01,9.083800077438354270e-01,9.082399606704711914e-01
9.061399340629577859e-01,9.096399188041687234e-01,9.084799647331237571e-01,9.115399718284606934e-01,9.090199828147887962e-01,9.088799715042114036e-01
9.058599591255187544e-01,9.083799719810485840e-01,9.088199973106384499e-01,9.096400022506714311e-01,9.092999696731567383e-01,9.090999960899353027e-01
9.037399768829346147e-01,9.074399948120117632e-01,9.066599607467651367e-01,9.068400025367736594e-01,9.067999601364136186e-01,9.060399532318115234e-01
9.040999650955200417e-01,9.066799283027648926e-01,9.034800171852112038e-01,9.033999681472778542e-01,9.046799302101135032e-01,9.048399329185485840e-01
9.065999507904052290e-01,9.034600138664246050e-01,9.017799496650695801e-01,9.025799512863159624e-01,9.017399430274963823e-01,8.982999801635742632e-01
9.058199882507323997e-01,9.039199471473693404e-01,8.987199544906616655e-01,8.985199689865112083e-01,8.976599693298339400e-01,8.964599370956420898e-01
9.045800089836120161e-01,9.001399517059326394e-01,8.991999506950378862e-01,8.982799530029297319e-01,8.969599723815917525e-01,8.943399548530578391e-01
9.048599720001220259e-01,9.002799510955810103e-01,8.986199736595154031e-01,8.988599777221679688e-01,8.974199533462524636e-01,8.969199657440185547e-01
9.050799489021301714e-01,9.015399813652038574e-01,9.000999569892883523e-01,8.954799771308898926e-01,8.961399674415588823e-01,8.940999507904052734e-01
